date,reviews,voted_up
2021-10-26 5:26,"Over 1000 hours in, and this being the most played game in my Steam Library, here's a new, revised review. 

The game is fun. The learning curve is steep. But the satisfaction of winning by outplaying your opponent, or winning 1v2 in clutch game, is worth the effort of learning. 

So what is Brawlhalla? 
At face value, it probably makes you think of a budget Super Smash Bros game. And the moment you step into it, it probably feels like that too. But, this is one of those hard-to-master titles. Learn-to-love titles graphically. The true learning of the game is learning to avoid, then per weapon type, then per hero, and mastering your combination of personal favourite weapon on a hero with their own signature attacks.  

Why should you play it? 
Well, my personal anwer would be: It is a great game to play to between other games, when you have little time, or to use a break from other activities. Does that mean you can't play it as a main game? Well no, but a normal 3-stock game vs 1 or 2 players usually takes a couple of minutes. Every game. If you play this for an hour, you've done quite a few matches in that time. The whole reason I have a 1000+ hours in, is because of how much I use it as a game to break or unwind from something else. In time, that really ramps up fast. 

Why should you not play it? 
One reason. It can really get under your skin. Sometimes it just doesn't work in your favor. You attacks miss, you dodge, and every teammate leaves early or isn't as skilled the other players in the match leaving you to 1v2 matches in a row. That's just how it is. There's a flow, and you gotta learn to ride it to do well. This is not a game for people who get sore from losing games easily. 

Personal recommendations? 
This is just my opinion. Lets talk gamemodes. Free For All is a poor presentation of the game. I consider this the 'Whoever spams signature attacks most succesfully to steal kills, wins. It is the kids-mode. Non-ranked 1v1 modes; These are great for learning and testing yourself. The ranked 1v1 is the best way of validating your skill. The one with a different hero per stock life is great for learning to adapt to opponents, which is a key thing to learn and get better at the game. And the event gamemodes are just fun, although often filled with the same spamming kids from Free For All, sadly. Lately there's been ranked versions of these modes as well, and that's a great addition imo! Now 2v2, both ranked and non-ranked are my favourite gamemodes. You need a friend to play ranked, and it is more punishing as friendly fire is possible in ranked, where it is not in non-ranked (unless bombs hit a teammate). 

Additional customisation ingame is available through either leveling characters: You unlock colors, can earn competitive point for unlocking specific weapon skins (cross-character), and can play around with unlocking stances that slightly changes your character's stats. I've owned the purchasable pack that unlocks every character for me since the start, but if you start playing the free mode, the heroes available rotate each week. I do recommend putting some hours in before you consider buying a pack like that though. Furthermore there's a battlepass and non-pay-to-win cosmetic shop that unlocks cool skins, knockout effects, minions, avatars and crossover skins from known brands (Rayman, Ninja-Turtles, ect.)",TRUE
2021-10-19 15:28,This game is a good one.,TRUE
2021-10-17 16:51,"do the practice first in offline play
",TRUE
2021-10-16 17:31,Its a fun game to play with your friends but forget playing casual online... full of super sweats and no room for casual fun play... either u are good at the game or playing online is just  frustration and  extremly unfun,FALSE
2021-10-16 14:14,very fun and boring super good gmaE,TRUE
2021-10-13 8:01,hehe good,TRUE
2021-10-13 7:02,gud,TRUE
2021-10-11 8:36,Best Game Ever,TRUE
2021-10-11 7:42,banging game,TRUE
2021-10-11 0:44,"Welcome to Brawlhalla. The fun game with a broken matchmaking system that will constantly having you fight players of higher ranks with more hours. Were you looking to ease back, take some time off and have fun??? unless you're a true masochist that enjoys getting shit on by 9 year olds on mountain dew or a 23 year old living in their moms basement THIS IS NOT THE GAME TO PLAY. Ive put too many hours as is and this game gets less and less rewarding the higher you climb and the more you improve. Unless this game fixes the matchmaking system and its broken (and constantly lagging or crashing) servers; I strongly suggest other games",FALSE
2021-10-07 21:44,pee pee,TRUE
2021-10-06 9:40,"9/10, could use more hot single moms near you",TRUE
2021-10-06 8:29,a,TRUE
2021-09-25 7:17,.,TRUE
2021-09-20 6:09,;l,TRUE
2021-09-18 18:20,This game is really cool and you can do some cool tricks and sweet combos really recommend.,TRUE
2021-09-16 14:19,good game,TRUE
2021-09-16 3:06,Fun!,TRUE
2021-09-14 20:17,"fun
",TRUE
2021-09-14 2:34,lovely game,TRUE
2021-09-13 3:20,I would rather blow my brains out then play another round of this toxic POS. :),FALSE
2021-09-12 3:49,nice game i have been playing this for one year,TRUE
2021-09-04 10:43,good game! not badly balanced at all!,TRUE
2021-08-25 17:51,m,TRUE
2021-08-17 17:35,It is a fun game,TRUE
2021-08-13 14:36,"The community is rude and gritty but will still eat your pants. Awful people, great game-play. Teros is a fair and balanced character.",TRUE
2021-08-04 19:54,ass,FALSE
2021-08-04 9:02,"Very fun game, especially with friends.",TRUE
2021-07-28 23:16,good game very fun to play and I enjoyed the gameplay,TRUE
2021-07-18 1:04,Probably the worst smash clone on the market,FALSE
2021-07-13 15:44,yes,TRUE
2021-07-12 23:04,PRETTY GOOD GAME,TRUE
2021-07-08 21:54,Its valid,TRUE
2021-07-07 5:25,so competetive game,TRUE
2021-07-03 15:21,"The only positive this game has is rollback netcode.  Its the only official, retail platform fighter so far to have rollback.  Coupled with being F2P and crossplay, the only way I can recommend this is if you want to play a platform fighter with no financial commitment required with your friends.

Besides that one positive...
-The most boring character designs, sharing the same animation rig to make selling skins/emotes, etc super easy. Copy/paste of movesets through the weapon system, with the concept of ""special moves"" you would expect from a platform fighter replaced with ""signature moves"", aka smash attacks that are the only unique thing to a character.  Also makes it hard to notice your own character flying away when trading attacks in FFA, since everyone is animated the exact same.  There is also no unique audio for characters.
-Floaty, think Smash Bros Brawl but with laggy momentum.  However there is air dashing so its not that terrible overall.
-So many attacks have a lot of end lag on whiff, but a much safer automatic follow up on hit.  There are no landing animations for air attacks, which looks bad and feels sluggish.  Combo’s are not satisfying to land, especially online with higher ping(rollbacks).
-Few/hard to notice effects, and no hit stop on attacks.  It makes the rollbacks super infuriating, its hard to see when/how attacks interact with higher pings.  Invulnerability while dodging causes hardly any visual light effect, and produces no distinguishing sound.  This point is honestly my biggest complaint, the visual and audio feedback in Brawlhalla is practically nonexistent.
-Is there no ping meter?  Tf?  It would make the rollbacks a bit more bearable if I knew exactly how bad the lag was.
-The UI is trash.  From the main menu to the in-game damage icons, everything is inconveniently placed.

Im dropping this as soon as RoA implements rollback.  I never play this offline.",FALSE
2021-06-29 18:21,Ok for what it's worth. If you're looking for a decent substitute for Smash this will suffice. Just don't be too disappointed.,FALSE
2021-06-26 17:22,"remember way back when you paid for the game in beta and there was an all fighters pass that was supposed to be a permanent thank you for supporting the game early and was a promise to unlock every fighter present and future? The devs dont, and even before the countless cross promo characters, they dropped this and made you unlock everyone from scratch. Even if you already owned them. Was really cool, and made me quit. Thank god, because you just dodge and wait around now anyway. The meta has severely devolved",FALSE
2021-06-26 10:54,I have never wanted to blow my brains out as bad as I do in this game. The amount of brain dead retards you face that only ult and still manage to win pisses me off to another planet. Purchase if you are ready to kill yourself in the most brutal way possible,TRUE
2021-06-22 0:41,"It´s okay. A game you can easily invest 50 hours per week in.

The only thing that does disturb me is the stuttering at some point, sometimes it just doesn't feel fluent at all.",TRUE
2021-06-16 22:25,"Remember how awesome Super Smash Brothers was for N64? Remember the hours you spent playing in your underwear and nothing else on, with your little bro with a bowl of cereal on the side? Remember those days? Well, you can say hello to nostalgia with this awesome game! This game is 100% inspired by Super Smash Brothers!!!  

This game provides great characters and the game is being updated constantly, which is awesome. The game provides awesome fighting levels. The game provides great combos/fighting mechanics, and lastly, the community is great! No headaches, no cry babys, no little 5 yr old will curse you out or talk bad about your mother, like the ultimate behind the screen warrior. This game is top notch.",TRUE
2021-06-16 22:20,hemorrhoid inducing,FALSE
2021-06-07 0:39,cool game yes,TRUE
2021-06-02 3:30,bad game bad servers,TRUE
2021-05-19 20:59,Great To Play With Mates!,TRUE
2021-05-13 15:08,No alt tab.,TRUE
2021-05-12 22:20,,TRUE
2021-05-12 20:06,maybe,TRUE
2021-05-12 12:20,Free Super Smash Bros.,TRUE
2021-05-08 16:15,its good you wont regret o_o,TRUE
2021-05-08 11:24,VERY GOOD! ;),TRUE
2021-05-07 1:53,people i hope you love this game.,TRUE
2021-05-03 17:28,"Not a bad game. But, most of the community is too toxic. It's incredible the amount of people that have such a shitty life that they have to lash out on everyone they see.",FALSE
2021-05-03 8:17,ye,TRUE
2021-04-29 15:08,This is better than I thought,TRUE
2021-04-29 13:34,Its fun,TRUE
2021-04-26 13:55,Great game!,TRUE
2021-04-21 16:00,Ever since rayman fighting any new legend is like the painful hours of recovery after surgery. simply getting hit by a sig is so annoying i'd rather bite into my own nails like a cracker then ever launch this game again.,FALSE
2021-04-21 9:41,I love this game just grinding to be better s fun and leveling up to get colors,TRUE
2021-04-17 10:21,"its a fun game but the lag spikes ruin the fun

this is probably the only con i've seen so far",TRUE
2021-04-12 17:33,By far one of my favorite games. Yes it can get annoying at times but everything about it i love.,TRUE
2021-04-09 9:24,"Yes yes, good game

Bought collectors pack at 0h cuz rich pepe",TRUE
2021-04-01 11:57,Gud game is gud,TRUE
2021-03-29 11:03,Great game. Well balanced and continued improvements. High skill cap.,TRUE
2021-03-16 12:29,good overall game. Best played with friends. Had a lot of fun. Thx devs for making this game <3,TRUE
2021-03-15 19:10,"I'd give it 9 out of 10, that 1 is in honor of the destruction of my desk, which was cause by rage from this game.",TRUE
2021-03-07 11:29,good gmae,TRUE
2021-03-05 2:28,Better than Smash.,TRUE
2021-03-03 15:17,i hate this game,TRUE
2021-03-01 19:12,"hi
",TRUE
2021-02-28 23:42,good game,TRUE
2021-02-28 2:57,"Shit popoo game no dice shitty game no play very scuffed



dream x Georgenotgay is this game",FALSE
2021-02-07 6:04,Fun with friends,TRUE
2021-02-01 0:13,"is nice
",TRUE
2021-01-26 3:17,"meow


",TRUE
2021-01-23 22:06,Amazing game and fun gameplay,TRUE
2021-01-23 14:01,Well it may be free but it's very laggy and if you bought the costume pack then it really sucks. They have no support and no good faith in responding to your emails. Let's do away with sub par releases!,FALSE
2021-01-23 0:06,"If you're looking for a Super Smash-sort of game but not exactly that, this is one of my favourite games hands down. I've been playing Brawlhalla on my Switch for the last 2 years with 1,000+ hours logged and have been addicted to this rage-inducing game. 

What I love:
- Great platform fighter with smooth controls and lots of different weapons that can match your playstyle
- I've never loved Smash as I find that with such a large character selection, the playing field is not level at all. Every character has different 'light attack' moves, signatures, etc. and you have to re-learn each character. With Brawlhalla, I love that I can pick up any legend and the base weapon moves are the same (i.e. an axe/scythe legend and an axe/lance legend; the axe light attack moves are the exact same.) The signatures and the stats would be different which gives each legend a unique playstyle, but also if you're tired of that character but love the axe weapon, you can easily pick another axe legend and know at least half the basics/combos.
- Unique characters, originality, and lore that I've never seen before in other games
- Art style of the game is timeless and attractive; being a F2P game, I've spent money on microtransactions as I love the game that much, the battle passes are very worth it, and the skins are affordable and great looking- that being said, you do NOT need to spend money on the game to win. These purchases are purely cosmetic changes.
- AMAZING dev team; I've never watched any Twitch streams before Brawlhalla but the Devs are extremely likeable, transparent, and put out interesting content. They take care of their community. Lots of tournaments and e-sports as well.
- Different modes of play; 1v1, 2v2, multiplayer, experimental, etc. The multiplayer games are super easy to create or join in, and really fun to play like Bubble Tag, Capture the Flag, and Brawlball (2-8 players). The game modes are innovative and friends can easily download the game and join you (but learning curve is hard, point is below).

What I Don't Love:
- Absolutely rage inducing. Many times I've come close to smashing the controller into the TV. If you get railed by a diamond/plat player properly, you'd give respects to how well they played, but if it's a new player/troll/terrible player that is spamming signatures and giving you that salt shaking taunt, it's infuriating and obviously there are toxic players which further ruins your experience.
- For new players, it's a very steep learning curve and unfortunately if you lose interest and don't really get into the game, and don't know how to dodge and combo properly, you won't make it very far and will probably give up this great game. It has taken me and my 2v2 partner 2 years to reach platinum (casual players). We were terrible in the beginning and we did not get any better until we started watching YouTube videos and playing more to learn the characters, dodges, and combos. We are still not great tbh.
- Balancing of the weapons is iffy sometimes. For example, they released the Great Sword weapon last Fall and it has dominated the tournaments and general gameplay. It was very obvious that there needed to be further testing and tweaking before releasing, especially right before the World Championships, but this wasn't done. They only just nerfed it last week and it's been better. 

All in all, I've stuck by this game almost every day for 2 years. It's so solid and easy to pick up and play for a few games or play for hours. The Dev team is constantly putting out free content, having 2-3 streams on Twitch a week, and updating the game. It's a fun game that my partner and I can play and enjoy together, and the highs of winning are exhilarating, but with the highs comes the infuriating lows. You'll see some reviews saying how it's terrible and toxic, but that just means that they need a break from the game and should come back to it later. My only suggestion for those who've never played Brawhalla before is to try to stick with it to get past that learning curve and try to find a partner to play with. Makes it much more enjoyable.




",TRUE
2021-01-22 13:46,smash but not,TRUE
2021-01-15 2:46,greatsword,TRUE
2021-01-12 12:03,It is fun i have it on xbox and pc im cracked it like smash bros but honestly better ;),TRUE
2021-01-07 16:18,pretty cool,TRUE
2021-01-05 18:47,All the fun and frustration of SSB at a much lower cost. I really like the system where the characters share similar weapon types that allow you to try other characters at a much lower bar to entry. Special attacks still make them feel unique although each weapon's moves are similar across characters.,TRUE
2021-01-02 11:55,i love it :),TRUE
2020-12-27 2:21,"Don't play this game competitively, only fun with freinds, solo queue is literal anyerism cancer dont",FALSE
2020-12-26 1:04,BETTER THAN SMASH,TRUE
2020-12-07 6:18,This game is good now except the fact that it's Ubisofts game,FALSE
2020-12-06 9:51,Amazing game.  It's incredible the amount of diversity they've been able to pack into this game.  So much fun.  Awesome cross-overs and still so much coming. Competitive scene is vibrant.  Best platform fighter out there right now.,TRUE
2020-11-30 19:18,This bullshit went F2P and i didn't even get a shirt.,FALSE
2020-11-30 0:29,"I fucking hate this game with a passion, but i also love it dearingly, but damn does it make my blood boil",TRUE
2020-11-29 5:51,absolutely great!!,TRUE
2020-11-28 3:25,It's ok i guess,TRUE
2020-11-26 7:39,"eh, it is a nice game",TRUE
2020-11-21 18:18,it good,TRUE
2020-11-13 12:04,p,TRUE
2020-11-11 10:10,bad,FALSE
2020-11-04 20:24,"It's fun to play at the start but once that's gone it's just a hollow shell. Bugs have been found, reported and addressed such as the game randomly crashing but have NEVER been fixed for YEARS. The characters are horribly unbalanced and new things just to keep the popularity going without actually fixing problems. After being in plat for a while I'm honestly very disappointed by how the game's going so far. It's pretty clear by now that the devs only want your money and don't actually care about the state of the game anymore.",FALSE
2020-11-01 19:50,Alto juego,TRUE
2020-10-30 18:35,The game is fun.,TRUE
2020-10-28 0:04,gud game,TRUE
2020-10-26 20:39,"Great free to play game, easy to pick up controls and fun

a poor mans smash bro's

I also impulsively bought all the characters and battle pass oop",TRUE
2020-10-25 8:37,"Massive input lag even today. Feel animation locked on most attacks. Do a side light attack and then can't jump afterwards so end up doing a neutral light instead.
Can't believe you can make a fighting game and then have this trash of an input system.
I backed it in 2015, and wish I could refund that money today.",FALSE
2020-10-22 4:19,I haven't had a fist shoved up my ass before until now 10/10,TRUE
2020-10-18 22:11,nig,TRUE
2020-10-14 19:52,like!1!!111!!,TRUE
2020-10-06 2:28,"This is an a amazing game that cannot be missed by action PC gamers, this is a must. Fluid gameplay, fast paced, and action-packed. Really worth the purchase to help out the developers.

Buy It!",TRUE
2020-09-27 12:32,A bit of a pay to play with unlocking new characters but the amount you get for free is still a lot of fun and highly enjoyable. They did a great job with all their characters! i don't like the art style as much but it more than makes up for it with the gameplay!,TRUE
2020-09-24 6:23,Games sucks I do not recommend it,FALSE
2020-09-22 17:28,IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII,TRUE
2020-09-18 23:53,im stuck in low gold,FALSE
2020-09-17 22:34,"Bloody hell I'm still playing this...

It's another platformer brawler akin to the popular Smash Bros, with it's primary difference being every character sharing the same movesets, with the only difference between them being what weapons they can wield and their ""signature"" attacks. This results in a watered down system compared to the bigger titles but the simplicity does lends itself to players, both making things easier to learn and putting more emphasis on tactics. 

Given that this game keeps receiving updates, both in terms of balance and content, it's done pretty well to keep me playing, even if just for the daily quest or two.",TRUE
2020-09-14 2:04,great competitive game. Extremely fun to play with mates,TRUE
2020-08-26 21:06,.,TRUE
2020-08-20 12:18,It fun,TRUE
2020-08-12 22:17,fun,TRUE
2020-08-09 17:28,cool mechanics,TRUE
2020-08-09 13:30,"ITS OK JUST OK
",TRUE
2020-07-31 0:15,just dont be mad when you get on ranked and people spam over and over again. just remember they suck :),TRUE
2020-07-11 12:12,Good game you can play for 500 hour's and still get angry at.,TRUE
2020-07-10 22:20,LOVE THIS STUPID GAME!,TRUE
2020-07-08 12:38,it's really good,TRUE
2020-07-06 16:32,hm,TRUE
2020-07-01 5:50,"EDIT 1.7.2020  THIS GAME IS CANCER - ALL U NEED TO KNOW oh and 2 trillion skins for 6 € each or even more expensive ... cool ... ye fuck that

u reached gold 3 ? congrats from now on play against diamond or high platin 
 f this shit

EDIT : forget this game its not fun anymore to play becuz everyone  is just passive  and wait till the oponent attacked first cuz that nearly always win the devs kept changing the cds into shit  that this  in comb with the dash ( what already destroyed for a lot of guys the game as it joined in) is possible and instead of changing at least completly retarded Hitboxes all they do is patching more paywall - locked Skins They rly turned the game over the years into a rly annoyin experience for me and right now i think about leaving forever this game




U like Super smash?  Then u can insta download it is it f2p no p2w cuz everything u can buy is just cosmetic ( but completly retarded expensive  if u think what u get for that amount so i dont recommend to grab that but ofc its ur own decision)
In my opinion preaty nice game  every champ ( i gues right now few less than 30 and the developers focus in 2017 to realse every Month one champ cuz it was wanted from the community ) has teh combination out of 2 weapons which u cant change ( sounds bad but its good if u play a while cuz then bob champs like hatori and fist shithads * mad mad cry cry mad mad* has even more shit finishers to spam around u without any skill or logical hitboxes but whatever i salt around again
Anyway each weapons playstyle is completly different to annother and each weapon has light/fast attacks which are for all champs the same and different heavy/slow attacks which are on EVERY char different

Few Tipps to get started & Improve:

- DONT play Fist/sword chars at the start cuz then u get the feeling for spam and not the game Mechanics/Timing for     Dodge etc.

- DONT spam Dodge just cuz the cd on it is gone Try to use it only if its necessary then u Improve faster

- If u wanna learn most fasted way how to play go and try 1vs1 game mode other modes are like Aram in lol they are  there and they are bullshit for  the worst of casuals

- Light/fast Attacks for Fighting Heavy for finishing

- Hold some distance between u and the Opponent and try to get a feeling for what the enemie will do in which Situation


However in interested in what will happen in the Future and i hope they gonna introduce a Reaper Themed/Death themed char cuz they introduced with the last new Char the new Scythe weapon which is preaty nice after all this Shitty-Fists-of-Spam-made-for-Shitty-Casuals-who-even-dont-know-the-Buttons-on - a - Controller-and-use-the-Head-instead-of-fingers-to-controll *SALT SALT SALT*

8,5/10",FALSE
2020-06-27 1:22,loved this game try it,TRUE
2020-06-27 0:26,pretty fun,TRUE
2020-06-26 0:26,great and fun,TRUE
2020-06-25 0:18,"terrible. 225 hours, some days it works fine and later in the day every hit you give to someone will show up as if it worked on your screen but then you realize it didnt register it to anyone but you, and in higher leagues where you plan ahead based on the first sign of a hit the game fucks you over. Not to mention on your pov someone is faced the other way and hits you with directional attacks facing the other way because it doesnt even register them turning around. Honestly sick of sticking at 1600 league due to doing well and then dropping 100 elo because of games like this one after another. Its pathetic.

EDIT, May 27 2017. 
Game is still honestly the exact same way. Have stopped playing at this point because ive realized this will not change ever. Im at 316 hours now , and this number will not go up

EDIT, June 25 2020.
Somehow the devs have never learned how to balance, now random moves hit through dodges but sometimes also choose to just not do it,

Ranked matches don't show ELO, but constantly was matched with people in Platinum or Diamond despite being at 1600 ELO ( gold )

Spammy characters literally rule the game, and their servers randomly go to shit and seem to favor the spammiest person in the game. This happens OFTEN.

Completely fucking terrible at any level past casual.",FALSE
2020-06-19 6:21,"It's free, so try it yourself and see if it is for you. To me, the game lacks depth and is boring to play. The characters all seem mostly the same, and every match plays out the same way: grab an item, hope for a long weapon, and try to wack the other players off of the stage. It's like Smash with no depth or real character variety.",FALSE
2020-06-12 10:22,stay chill stay safe and have fun wit this game :D,TRUE
2020-06-11 22:55,like smash except everyone has the same moveset and you cn only play in a boring way or else you lose,FALSE
2020-06-10 4:39,"GOOD GAME
",TRUE
2020-05-28 21:02,Totes,TRUE
2020-05-28 11:35,Very fun,TRUE
2020-05-25 22:46,Amazing and addicting to play. Highly recommend!!!!,TRUE
2020-05-22 19:52,"Garbage fucking game. Makes my asshole bleed.
Edit: Never mind, the bleeding was from my cancer.",TRUE
2020-05-21 16:18,"I said I hated this game even tho I didn't really and was just bored. developer still responded professionally, that alone should show that at the very least, these people care

I am here 4 years later to right my wrongs

game is good.",TRUE
2020-05-20 22:07,this game is really fun,TRUE
2020-05-14 5:14,its good,TRUE
2020-05-10 17:16,good,TRUE
2020-05-09 14:58,A nice game,TRUE
2020-05-02 19:00,PeepeePooPoo,TRUE
2020-04-29 8:01,Sig spammers all the freaking time,FALSE
2020-04-19 5:42,it gud,TRUE
2020-04-14 16:26,lol dis game good...,TRUE
2020-04-11 12:13,"fun and competitive game only with friends, solo is kinda meh just to kill time! great game.",TRUE
2020-04-11 4:57,"too much glitchy bullshit
",FALSE
2020-04-08 7:05,"Toxicity in this game is at a whole new level and the developers don't care about the community.
Recommend?Clearly a no.",FALSE
2020-04-03 19:43,This game is easy and very quick to learn.  I greatly enjoy playing this game!,TRUE
2020-04-02 16:36,Pretty Good.,TRUE
2020-04-02 10:35,Peng game negl,TRUE
2020-04-02 5:58,"Super Smash Bros like game, it is fun.",TRUE
2020-03-31 4:41,"This is one of those games that i like to call a ""stinky game"" because esahgfinvuiertgjiuertgh",TRUE
2020-03-24 12:19,Fun platform fighter good for killing time and works well as a party game. Competitive scene exists as well if that is what you are looking for.  Very easy to run and has very modest micro-transactions with all playable characters being obtainable through gameplay.,TRUE
2020-03-17 8:45,iutyioutoiuytuyt,TRUE
2020-03-16 18:39,Been lagging on their servers for a few weeks now. Can't play competitively till they fix this shite.,FALSE
2020-03-12 0:40,"
goog
",TRUE
2020-03-09 21:06,10/10 better than smash brothers.,TRUE
2020-03-07 22:52,Super Fun and Awesome. If you like Super Smash Bros you should be playing this game!,TRUE
2020-03-04 12:37,"basically smash for try hard's , great game c:

also stop fucking throwing things at me jesus e.e

also also look at me i  have scythe ble ble ble *15 hit combo* ble ble ble",TRUE
2020-02-21 21:11,idk what these braindead devs were thinking when they make balance changes but stay away from this unless you are going to play it with ur friends,FALSE
2020-02-18 15:23,theres so many things you could do!!,TRUE
2020-02-07 19:31,Great,TRUE
2020-01-11 14:05,A consistently good time. Easy to connect with friends cross platform. Awesome mechanics with a steady learning curve. Highly recommend.,TRUE
2020-01-11 11:16,"I reviewed this game when I first started playing it back in 2015.

The game is still kinda fun, but pretty frustrating at times. The ranked play is VERY unbalanced. My buddy and I, who were both platinum in solo, would duo ranked and be placed against people who were top 100. Really takes a lot of the fun out of it.

The game also feels like more of a cash grab now. There are too many characters to take as long as it does to unlock new ones without buying them with real money.

-----------------------------
My previous review:
I've seen this game featured a lot and never bothered to try it, it never really looked too great.

I got a free beta key and tried it out, I love this game. It is 1 of the most fun games I've played in a long time.
I purchased the founders pack to support the game because i felt that I cheated them out of that well deserved purchase.",FALSE
2020-01-06 14:04,So passive that i might as well be playing by myself.,FALSE
2020-01-05 11:38,v nice,TRUE
2020-01-02 12:17,top 10 oofs,TRUE
2020-01-02 12:01,sweet,TRUE
2019-12-31 1:45,good.,TRUE
2019-12-29 16:04,yeet,TRUE
2019-12-04 15:35,i like this game,TRUE
2019-12-04 14:41,"If you like platform fighters like Smash or Rivals of Aether, you will like this game.",TRUE
2019-12-03 4:37,Addictive!,TRUE
2019-12-01 18:06,"Its alright nothing really special, its like super smash bros, my friend is addicted to it. Most of my hours are with him, to me it was not as much fun when alone.

But hey, just get the game it can run on a potato and its free.",TRUE
2019-11-30 5:57,"Just like ""Shatter Siblings"" only better because its free.",TRUE
2019-11-26 14:19,iz verii guud. U must plai. yes yes,TRUE
2019-11-24 15:50,fghfhb,TRUE
2019-11-20 6:55,meh -10/+10,FALSE
2019-11-17 22:53,Actually a well thought out brawler for pc.,TRUE
2019-11-13 18:00,Epic,TRUE
2019-11-08 21:26,"Yumiko!
",TRUE
2019-11-06 17:28,"Fun like Smashbros, dislike is passive play is a very dominant feature of the game.",TRUE
2019-10-09 17:06,🦀 JOHN CENA IS DEAD 🦀,FALSE
2019-09-26 21:07,"It as Dwayne ""The Rock"" Johnson 10/10 master piece

""I farted so hard my balls shook""

Best game",TRUE
2019-09-20 18:16,"Great Game, Toxic Community (at times) 
pros
-Very high skill cap
-variety of characters and weapons
-updated often
-lots of maps
-not p2w
-fun mechanics with good hitboxes

cons
-toxic community (says stuff like ez, youre trash, and just very unsupportive)
-Ranked matchmaking can be very weird in who it places where (im in gold and sometimes face platinum and diamond players)note: could be my location
-balancing issues with certain characters
-Gameplay focused on punishing rather than taking the initiative, this means that passive play is super strong and it can be frustrating at times.


overall a solid game with a quick download time, plus its free!",TRUE
2019-09-15 4:51,"This game is really not really a game because it's a game where you can see something that disparages a country, and when you play it, the frame drop is so bad that even if my attack hits the opponent, it doesn't fit. I want to blow you coolly to developers who don't care about these things. I think these games should be gone. I'm creepy just because these games are on Steam, and as gamers I want to call these games bugs. Don't proceed, because this game may put you back on the Steam platform because of stress and anger. I'd rather recommend studying or playing basketball outside this game. You're ashamed!",FALSE
2019-08-04 19:19,"Good time killing game or secondary game. Also a good party game with friends. Online is a big disappointment though, toxic community, cheating, frame skips and lag. Add to that the preset matchmaking. It's pretty apparent the developers dont take this game seriously and is more interested in their ""store"" than adding features that would make a more enjoyable experience.

I'm 50/50 on recommending this game, with it being free to play, and with good gameplay and 1000hrs on it, you would think it would be easy to recommend...but looking back now, I wish I would've spent that time on another game. Something more rewarding.",FALSE
2019-07-19 23:15,Good game,TRUE
2019-07-02 16:04,YES,TRUE
2019-07-01 8:32,this is a fun game,TRUE
2019-06-29 20:26,"Balanced game, cool characters, flashy moves and always growing content. 100% worth its value.",TRUE
